email_text,label
"CRITICAL SECURITY UPDATE: Your router firmware is outdated and vulnerable. Download the patch at http://router-update.tk/patch immediately!",phishing
"Happy Monday everyone! Just a reminder that yoga classes are now offered every Wednesday at lunch in the wellness room. All levels welcome!",safe
"Dear user, your Dropbox account exceeded storage limits. Files will be permanently deleted. Upgrade at http://dropbox-upgrade.tk/storage now!",phishing
"Hi team, the quarterly town hall meeting is this Friday at 3 PM in the main auditorium. CEO will be sharing company updates and taking questions.",safe
"IMMEDIATE ACTION REQUIRED: Your credit score has dropped 200 points. Check your report at http://credit-score-check.tk/report to dispute errors.",phishing
"Good evening, I wanted to confirm your reservation for 4 at our restaurant this Saturday at 7 PM. Please let us know if anything changes.",safe
"Your Steam account has been flagged for suspicious trading. Verify ownership at http://steam-verify.tk/login or your inventory will be locked permanently.",phishing
"Hi everyone, we're collecting donations for the local food bank. Drop-off boxes are in the lobby. Collection runs through the end of the month.",safe
"ALERT: Your Adobe Creative Cloud subscription has been cancelled due to a billing error. Reactivate at http://adobe-billing.tk/reactivate or lose your work!",phishing
"Hey team, the new coffee machine in the kitchen is now set up. Instructions are posted on the wall. Enjoy!",safe
"Dear customer, your FedEx package #7789234 could not be delivered. Schedule redelivery at http://fedex-redelivery.tk/schedule. $2.99 redelivery fee applies.",phishing
"Hi Alex, wanted to let you know the prototype testing went well. Results are in the shared folder. Let's review them in our 1:1 tomorrow.",safe
"Your Instagram account has been reported for spam. Verify your identity at http://instagram-verify.tk/confirm within 24 hours or it will be permanently banned.",phishing
"Afternoon all, the company softball game is this Sunday at 2 PM at Riverside Park. Sign up sheet is on the fridge in the break room.",safe
"NOTICE: Your electricity bill of $1,247.83 is overdue. Service will be disconnected today. Pay immediately at http://electric-bill-pay.tk/urgent",phishing
"Hi team, the new employee handbook has been updated and is available on the HR portal. Please review the changes to the PTO policy.",safe
"Exclusive offer: Earn $5000/week working from home! No experience needed. Sign up at http://work-from-home-easy.tk/register and start earning today!",phishing
"Good morning! The building maintenance team will be testing the elevators today between 2-4 PM. Please use the stairs during this time.",safe
"Your Uber account has been suspended. Unusual activity detected. Reactivate at http://uber-account-restore.tk/verify to continue using our services.",phishing
"Hi everyone, photos from last week's team building event have been uploaded to the shared drive. Some really great shots of the scavenger hunt!",safe
"LAST CHANCE: Your lottery ticket #4892 expires today. You could win $50,000! Claim at http://lottery-claim.tk/ticket before midnight!",phishing
"Hey Lisa, I found that article about project management frameworks we discussed. I'll forward it to you. Really interesting approach to agile.",safe
"Dear user, your antivirus license has expired. Your PC is now vulnerable to attacks. Renew at http://antivirus-renew.tk/license for instant protection.",phishing
"Hi all, the volunteer signup for the community garden project is open. We need help on Saturday mornings. Contact facilities if interested.",safe
